Row Labels,Count of Sub_ID
1445,2
18031,2
67584,1
71489,1
86703,1
173765,1
242356,1
301011,1
370637,1
416232,1
422095,1
432894,1
460303,1
492897,2
507286,6
521247,2
531053,1
549032,2
586459,1
590480,1
592732,1
593622,1
597265,3
597268,8
600713,2
601422,1
615057,1
617535,1
617961,1
621328,1
621621,1
630977,1
633678,1
642504,1
720398,1
721900,1
730254,1
733281,1
736517,2
737179,1
742848,3
747690,1
761775,2
764296,2
764342,1
764355,1
764396,5
764405,1
764429,2
764451,1
764468,1
770963,2
771003,3
771048,2
771778,1
771783,2
771785,1
771791,2
771793,4
771796,6
771797,1
771802,6
771816,8
771823,1
771830,1
771848,5
771849,3
771855,1
771856,1
771858,1
771867,10
771872,3
771876,6
771877,2
771881,4
771882,3
771888,1
771889,2
771902,1
771903,1
771907,1
771911,6
771924,1
771927,7
771941,6
771945,5
772142,1
777084,1
777129,1
778615,1
779369,3
779373,1
779395,2
779410,2
779442,3
779471,1
779485,7
779486,1
779489,1
779500,2
779505,1
786055,2
786099,1
786181,1
787656,1
788616,1
788649,1
788672,2
788725,3
788727,4
788728,1
788744,2
788751,1
788787,2
788788,1
788792,4
788794,4
789241,1
789265,1
789360,1
791320,3
792729,1
793571,4
793592,1
793616,2
793649,3
793652,1
793662,3
793670,4
793672,1
793693,4
793697,1
800825,1
802352,1
803542,1
803575,3
805455,1
806431,1
806460,1
808003,1
808915,2
808916,2
808917,2
808921,2
808923,2
808926,5
808928,2
808929,2
808930,8
808934,10
808936,2
808941,1
808945,1
808948,10
808949,5
808950,11
808958,8
808961,2
808965,7
808966,11
808969,5
808971,7
808976,1
808979,1
808983,2
808984,1
808988,4
808990,1
808997,6
809000,6
809006,2
809008,7
809010,3
809011,7
809015,10
809018,1
809021,1
809028,2
809034,2
809035,4
809039,3
809043,3
809045,2
809047,2
809048,5
809056,27
809063,3
809071,1
809072,3
809076,17
809079,4
809081,4
809083,2
809085,11
809087,4
809091,1
809337,1
816289,2
817216,2
817317,6
817331,1
819248,1
819259,1
819332,1
819358,3
820321,1
820335,6
820361,6
820387,4
820398,4
820442,1
820443,3
820456,1
820491,1
820492,3
820500,1
820513,10
820518,1
828799,1
830836,1
830884,1
830921,1
830923,3
830980,1
831679,1
831683,3
831694,1
831713,2
831720,2
831721,2
831728,1
831732,3
831755,2
831766,2
831775,2
831788,3
831789,5
831810,2
831815,1
831820,3
831826,2
840343,1
850656,3
850779,1
853642,1
853655,1
858517,2
859311,3
859379,1
859389,1
859431,1
859438,1
865372,2
865408,1
865413,2
866125,1
866131,1
866192,3
866195,1
866197,1
866202,1
866205,3
866215,1
866231,2
866244,6
866251,2
866255,1
866270,2
866295,1
866302,3
866310,2
866315,1
868888,1
868892,2
868895,5
868925,1
868961,1
868982,1
868986,2
869019,2
875048,1
879414,1
880213,1
880319,1
882376,1
882400,1
889840,1
891747,1
892453,2
892461,2
892465,6
892515,2
892523,9
892532,1
892554,1
892557,1
892558,2
892573,1
892577,1
892587,2
892603,1
892644,1
893061,1
894339,1
895195,1
903994,1
904019,1
904035,1
904063,2
904090,1
904101,3
904173,1
904174,2
904273,1
904274,3
904295,1
904299,3
904340,3
916065,1
918332,3
918340,1
919180,1
919220,1
919222,1
919229,2
922283,1
925955,1
930014,1
930015,3
930047,1
930066,1
930067,1
930093,1
930094,2
930097,1
930104,1
930111,1
930123,2
933014,1
939566,1
939570,1
939575,1
939592,1
939600,3
939602,11
939603,1
939606,1
939607,1
939619,2
939622,3
939624,6
939659,10
939662,1
939668,4
939673,1
939679,3
939680,6
939694,2
939695,3
939699,1
939702,1
939712,2
939713,1
939717,2
939719,2
939723,1
939729,2
939732,2
939753,1
939765,1
939766,2
988056,1
997491,2
1106084,5
1106115,2
1106137,2
1106156,1
1106301,2
1281997,1
1289864,1
1293309,1
1297586,1
1324574,1
2023963,1
2090526,9
2090538,1
2090555,4
2203312,1
2203323,3
2255459,2
2255463,1
2255518,7
2255559,2
2285528,1
2285609,2
2285664,2
2285675,1
2285716,2
2359724,9
2359733,1
2359771,4
2360384,1
2368357,4
2368365,1
2368371,1
2368559,5
2368568,5
2368583,2
2368619,1
2406478,1
2407123,3
2420980,1
2425604,1
2425739,1
2425806,2
(blank),
Grand Total,1000
